=== RUN ===
id,name,startedAt,endedAt,status,mode,sampleIntervalMs,notes
1,Calibration validation laps,2026-07-01T09:00:00Z,2026-07-01T09:15:00Z,stopped,real,1000,

=== SEGMENT TIMINGS ===
id,loopId,shuttleId,fromIndex,toIndex,predictedEtaMs,actualElapsedMs,recordedAt
1,1,2,0,1,6500,7464,2026-07-01T09:00:00Z
2,1,2,0,1,6500,7457,2026-07-01T09:01:00Z
3,1,2,0,1,6500,7472,2026-07-01T09:02:00Z
4,1,2,0,1,6500,7675,2026-07-01T09:03:00Z
5,1,2,0,1,6500,7468,2026-07-01T09:04:00Z
6,1,2,0,1,6500,7126,2026-07-01T09:05:00Z
7,1,2,0,1,6500,7583,2026-07-01T09:06:00Z
8,1,2,0,1,6500,7433,2026-07-01T09:07:00Z
9,1,2,0,1,6500,7446,2026-07-01T09:08:00Z
10,1,2,0,1,6500,7529,2026-07-01T09:09:00Z
11,1,2,0,1,6500,7558,2026-07-01T09:10:00Z
12,1,2,0,1,6500,7791,2026-07-01T09:11:00Z
13,1,2,0,1,6500,7664,2026-07-01T09:12:00Z
14,1,2,0,1,6500,7528,2026-07-01T09:13:00Z
15,1,2,1,2,8200,10351,2026-07-01T09:00:07Z
16,1,2,1,2,8200,10033,2026-07-01T09:01:07Z
17,1,2,1,2,8200,11483,2026-07-01T09:02:07Z
18,1,2,1,2,8200,12708,2026-07-01T09:03:07Z
19,1,2,1,2,8200,11248,2026-07-01T09:04:07Z
20,1,2,1,2,8200,11078,2026-07-01T09:05:07Z
21,1,2,1,2,8200,11812,2026-07-01T09:06:07Z
22,1,2,1,2,8200,9528,2026-07-01T09:07:07Z
23,1,2,1,2,8200,10841,2026-07-01T09:08:07Z
24,1,2,1,2,8200,11764,2026-07-01T09:09:07Z
25,1,2,1,2,8200,12204,2026-07-01T09:10:07Z
26,1,2,1,2,8200,10923,2026-07-01T09:11:07Z
27,1,2,1,2,8200,11633,2026-07-01T09:12:07Z
28,1,2,1,2,8200,11485,2026-07-01T09:13:07Z
29,1,2,2,0,9900,13800,2026-07-01T09:00:14Z
30,1,2,2,0,9900,11620,2026-07-01T09:01:14Z
31,1,2,2,0,9900,13553,2026-07-01T09:02:14Z
32,1,2,2,0,9900,11158,2026-07-01T09:03:14Z
33,1,2,2,0,9900,10900,2026-07-01T09:04:14Z
34,1,2,2,0,9900,12202,2026-07-01T09:05:14Z
35,1,2,2,0,9900,11847,2026-07-01T09:06:14Z
36,1,2,2,0,9900,13907,2026-07-01T09:07:14Z
37,1,2,2,0,9900,13664,2026-07-01T09:08:14Z
38,1,2,2,0,9900,11498,2026-07-01T09:09:14Z
39,1,2,2,0,9900,13874,2026-07-01T09:10:14Z
40,1,2,2,0,9900,11747,2026-07-01T09:11:14Z
41,1,2,2,0,9900,12801,2026-07-01T09:12:14Z
42,1,2,2,0,9900,12562,2026-07-01T09:13:14Z
43,2,3,0,1,7000,8029,2026-07-01T09:00:00Z
44,2,3,0,1,7000,8205,2026-07-01T09:01:00Z
45,2,3,0,1,7000,8160,2026-07-01T09:02:00Z
46,2,3,0,1,7000,8087,2026-07-01T09:03:00Z
47,2,3,0,1,7000,8162,2026-07-01T09:04:00Z
48,2,3,0,1,7000,8120,2026-07-01T09:05:00Z
49,2,3,0,1,7000,7843,2026-07-01T09:06:00Z
50,2,3,0,1,7000,7821,2026-07-01T09:07:00Z
51,2,3,0,1,7000,7883,2026-07-01T09:08:00Z
52,2,3,0,1,7000,8125,2026-07-01T09:09:00Z
53,2,3,0,1,7000,7937,2026-07-01T09:10:00Z
54,2,3,0,1,7000,8584,2026-07-01T09:11:00Z
55,2,3,0,1,7000,7795,2026-07-01T09:12:00Z
56,2,3,0,1,7000,7725,2026-07-01T09:13:00Z
57,2,3,1,2,8700,12584,2026-07-01T09:00:07Z
58,2,3,1,2,8700,13335,2026-07-01T09:01:07Z
59,2,3,1,2,8700,12282,2026-07-01T09:02:07Z
60,2,3,1,2,8700,12661,2026-07-01T09:03:07Z
61,2,3,1,2,8700,13340,2026-07-01T09:04:07Z
62,2,3,1,2,8700,11592,2026-07-01T09:05:07Z
63,2,3,1,2,8700,10064,2026-07-01T09:06:07Z
64,2,3,1,2,8700,11088,2026-07-01T09:07:07Z
65,2,3,1,2,8700,12796,2026-07-01T09:08:07Z
66,2,3,1,2,8700,10040,2026-07-01T09:09:07Z
67,2,3,1,2,8700,11739,2026-07-01T09:10:07Z
68,2,3,1,2,8700,11991,2026-07-01T09:11:07Z
69,2,3,1,2,8700,11337,2026-07-01T09:12:07Z
70,2,3,1,2,8700,12532,2026-07-01T09:13:07Z
71,2,3,2,0,10400,14068,2026-07-01T09:00:14Z
72,2,3,2,0,10400,15400,2026-07-01T09:01:14Z
73,2,3,2,0,10400,14113,2026-07-01T09:02:14Z
74,2,3,2,0,10400,12699,2026-07-01T09:03:14Z
75,2,3,2,0,10400,12754,2026-07-01T09:04:14Z
76,2,3,2,0,10400,12444,2026-07-01T09:05:14Z
77,2,3,2,0,10400,14495,2026-07-01T09:06:14Z
78,2,3,2,0,10400,12748,2026-07-01T09:07:14Z
79,2,3,2,0,10400,13319,2026-07-01T09:08:14Z
80,2,3,2,0,10400,14262,2026-07-01T09:09:14Z
81,2,3,2,0,10400,12568,2026-07-01T09:10:14Z
82,2,3,2,0,10400,13062,2026-07-01T09:11:14Z
83,2,3,2,0,10400,11400,2026-07-01T09:12:14Z
84,2,3,2,0,10400,12155,2026-07-01T09:13:14Z
85,3,255,0,1,7500,8358,2026-07-01T09:00:00Z
86,3,255,0,1,7500,8604,2026-07-01T09:01:00Z
87,3,255,0,1,7500,8798,2026-07-01T09:02:00Z
88,3,255,0,1,7500,8495,2026-07-01T09:03:00Z
89,3,255,0,1,7500,8565,2026-07-01T09:04:00Z
90,3,255,0,1,7500,8542,2026-07-01T09:05:00Z
91,3,255,0,1,7500,8771,2026-07-01T09:06:00Z
92,3,255,0,1,7500,8723,2026-07-01T09:07:00Z
93,3,255,0,1,7500,8568,2026-07-01T09:08:00Z
94,3,255,0,1,7500,8247,2026-07-01T09:09:00Z
95,3,255,0,1,7500,8726,2026-07-01T09:10:00Z
96,3,255,0,1,7500,8595,2026-07-01T09:11:00Z
97,3,255,0,1,7500,8807,2026-07-01T09:12:00Z
98,3,255,0,1,7500,8493,2026-07-01T09:13:00Z
99,3,255,1,2,9200,14200,2026-07-01T09:00:07Z
100,3,255,1,2,9200,11787,2026-07-01T09:01:07Z
101,3,255,1,2,9200,14032,2026-07-01T09:02:07Z
102,3,255,1,2,9200,12332,2026-07-01T09:03:07Z
103,3,255,1,2,9200,11606,2026-07-01T09:04:07Z
104,3,255,1,2,9200,10902,2026-07-01T09:05:07Z
105,3,255,1,2,9200,12026,2026-07-01T09:06:07Z
106,3,255,1,2,9200,13837,2026-07-01T09:07:07Z
107,3,255,1,2,9200,13139,2026-07-01T09:08:07Z
108,3,255,1,2,9200,12992,2026-07-01T09:09:07Z
109,3,255,1,2,9200,10200,2026-07-01T09:10:07Z
110,3,255,1,2,9200,13018,2026-07-01T09:11:07Z
111,3,255,1,2,9200,12839,2026-07-01T09:12:07Z
112,3,255,1,2,9200,11568,2026-07-01T09:13:07Z
113,3,255,2,3,10900,11743,2026-07-01T09:00:14Z
114,3,255,2,3,10900,11899,2026-07-01T09:01:14Z
115,3,255,2,3,10900,12331,2026-07-01T09:02:14Z
116,3,255,2,3,10900,11636,2026-07-01T09:03:14Z
117,3,255,2,3,10900,11793,2026-07-01T09:04:14Z
118,3,255,2,3,10900,12240,2026-07-01T09:05:14Z
119,3,255,2,3,10900,11788,2026-07-01T09:06:14Z
120,3,255,2,3,10900,11809,2026-07-01T09:07:14Z
121,3,255,2,3,10900,11924,2026-07-01T09:08:14Z
122,3,255,2,3,10900,11590,2026-07-01T09:09:14Z
123,3,255,2,3,10900,11955,2026-07-01T09:10:14Z
124,3,255,2,3,10900,11598,2026-07-01T09:11:14Z
125,3,255,2,3,10900,12121,2026-07-01T09:12:14Z
126,3,255,2,3,10900,11901,2026-07-01T09:13:14Z
127,3,255,3,0,12600,17600,2026-07-01T09:00:21Z
128,3,255,3,0,12600,15923,2026-07-01T09:01:21Z
129,3,255,3,0,12600,17171,2026-07-01T09:02:21Z
